mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.16887545585632324,0.040252205475821354,0.008556175231933593,0.0010078673577275275,0.7,0.5,0.0,200,1,3,0.1,0.0,0.9,"{'subsample': 0.7, 'reg_lambda': 0.5, 'reg_alpha': 0, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 0.9}",0.9306279878313777,0.9575451066156371,0.9554948059048659,0.9284034991798797,0.942345544013122,0.9428833887089765,0.012117467920532086,22,0.996215486604702,0.993872649362701,0.9949814405414995,0.9963239307841372,0.9938709435301182,0.9950528901646315,0.0010735218660952008
0.19428820610046388,0.00837891759240497,0.004879808425903321,0.00037148462683384774,0.8,0.5,0.5,300,5,4,0.05,0.3,0.9,"{'subsample': 0.8, 'reg_lambda': 0.5, 'reg_alpha': 0.5, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.3, 'colsample_bytree': 0.9}",0.9290525858322469,0.9566429743028978,0.9538819026790596,0.9319026790595955,0.9391470749043194,0.9421254433556238,0.011253872515174922,23,0.9925369054127939,0.9914230737738475,0.9930248505690658,0.9928065039984715,0.9912627255110674,0.9922108118530492,0.000727082411597942
0.4965688228607178,0.09570682282664283,0.010949850082397461,0.0009482268558421631,0.7,1.0,0.0,300,1,6,0.05,0.3,0.9,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.05, 'gamma': 0.3, 'colsample_bytree': 0.9}",0.9279932637983485,0.9564516129032257,0.9515035538545653,0.9291962821213778,0.9426189174412247,0.9415527260237484,0.011477571961518683,24,0.9999931656642974,1.0,0.9999982941674171,0.9999914708370861,0.9999863533393378,0.9999938568016278,4.896969375635276e-06
0.09270973205566406,0.0033895233915991977,0.008887815475463866,0.0011604567699039774,0.9,2.0,0.1,100,7,5,0.15,0.3,0.7,"{'subsample': 0.9, 'reg_lambda': 2.0, 'reg_alpha': 0.1, 'n_estimators': 100, 'min_child_weight': 7, 'max_depth': 5, 'learning_rate': 0.15, 'gamma': 0.3, 'colsample_bytree': 0.7}",0.9239189482833551,0.9573810825587754,0.9523510114816839,0.9325041006014215,0.9377255330781848,0.9407761352006843,0.012422556243965231,25,0.9917167851284855,0.9922077567619204,0.9922299325854963,0.9923169300472174,0.9914281912715959,0.9919799191589431,0.0003468821717137624
0.2862876892089844,0.01915292188318928,0.00840153694152832,0.0007985730650337348,0.9,0.5,1.0,300,1,7,0.1,0.2,0.7,"{'subsample': 0.9, 'reg_lambda': 0.5, 'reg_alpha': 1.0, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 7, 'learning_rate': 0.1, 'gamma': 0.2, 'colsample_bytree': 0.7}",0.92916123424598,0.956670311645708,0.9499726626571898,0.9303171131765993,0.9376981957353745,0.9407639034921702,0.010871715515872743,26,0.999837684527064,0.9999095908731134,0.9999488250225169,0.9998413575698027,0.9998396517372199,0.9998754219459434,4.5649818339307176e-05
0.15459852218627929,0.002799995107114994,0.008401203155517577,0.0004900381352724373,0.9,1.5,0.0,200,3,4,0.1,0.3,0.8,"{'subsample': 0.9, 'reg_lambda': 1.5, 'reg_alpha': 0, 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 0.3, 'colsample_bytree': 0.8}",0.9281019122120817,0.9533898305084745,0.951175505740842,0.9300437397484965,0.9406232914160743,0.9406668559251937,0.010421478867017537,27,0.9979240705303445,0.9969073255274434,0.9977960643030651,0.9974685444471737,0.9967162722781735,0.99736245541724,0.0004773633729573743
0.2776374816894531,0.0059564838316072295,0.009000492095947266,0.0006321104950891644,0.9,2.0,0.5,400,7,4,0.05,0.0,0.8,"{'subsample': 0.9, 'reg_lambda': 2.0, 'reg_alpha': 0.5, 'n_estimators': 400, 'min_child_weight': 7, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.8}",0.9252770534550194,0.9576817933296883,0.9506014215418261,0.931765992345544,0.9375888463641334,0.9405830214072421,0.01194750252672531,28,0.9920038272279934,0.9913787221266956,0.9920371735036436,0.9919109418925188,0.9911569638909359,0.9916975257283575,0.0003601584416810351
0.7673573970794678,0.08877405258070435,0.013090085983276368,0.0008137508304172269,0.7,2.0,1.0,400,1,7,0.05,0.0,0.9,"{'subsample': 0.7, 'reg_lambda': 2.0, 'reg_alpha': 1.0, 'n_estimators': 400, 'min_child_weight': 1, 'max_depth': 7, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.9}",0.9281019122120817,0.9549753963914708,0.9477583378895571,0.9316566429743028,0.939803171131766,0.9404590921198357,0.009946007410899791,29,0.9999128622197924,0.9999420016921858,0.9999675891809274,0.9999164142034445,0.9998857092169546,0.9999249153026609,2.781246930509809e-05
0.12592158317565919,0.002094472435959346,0.009121990203857422,0.00048335187439677317,0.9,1.0,1.0,100,5,7,0.15,0.3,0.8,"{'subsample': 0.9, 'reg_lambda': 1.0, 'reg_alpha': 1.0, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.15, 'gamma': 0.3, 'colsample_bytree': 0.8}",0.9288624511082139,0.9556588299617278,0.9453253143794423,0.9354291962821215,0.9361946418808094,0.940294086722463,0.009301005175443598,30,0.9962257381082559,0.9967520947624116,0.9974429569584323,0.9966002756625455,0.995476131990502,0.9964994394964295,0.0006459564255436148
0.23603830337524415,0.07771424502848356,0.008732366561889648,0.0006445137023738382,0.7,2.0,0.0,200,1,4,0.1,0.1,0.8,"{'subsample': 0.7, 'reg_lambda': 2.0, 'reg_alpha': 0, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.8}",0.9288352890047805,0.9565062875888464,0.9466101694915254,0.9285675232367415,0.939420448332422,0.9399879435308632,0.010694291192638896,31,0.9992243028977583,0.9990498512513989,0.9990430279210677,0.9991180845547094,0.9984528098474303,0.9989776152944729,0.0002703715921182092
